,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8264352469959947,"[[241  44]
 [ 86 378]]"
1,Random Forest,0.6809078771695594,"[[113 172]
 [ 67 397]]"
2,XGBoost,0.684913217623498,"[[ 52 233]
 [  3 461]]"
3,SVM,0.822429906542056,"[[248  37]
 [ 96 368]]"
4,Naive Bayes,0.38050734312416556,"[[285   0]
 [464   0]]"
5,Gradient Boosting,0.7076101468624834,"[[120 165]
 [ 54 410]]"
6,K-Nearest Neighbors,0.5901201602136181,"[[ 98 187]
 [120 344]]"
7,Decision Tree,0.6568758344459279,"[[ 99 186]
 [ 71 393]]"
8,AdaBoost,0.5287049399198932,"[[ 98 187]
 [166 298]]"
9,SGD Classifier,0.7850467289719626,"[[253  32]
 [129 335]]"
10,MLP,0.8104138851802403,"[[235  50]
 [ 92 372]]"
11,LGBMClassifier,0.5914552736982643,"[[131 154]
 [152 312]]"
