,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.855807743658211,"[[197  53]
 [ 55 444]]"
1,Random Forest,0.5046728971962616,"[[ 92 158]
 [213 286]]"
2,XGBoost,0.5353805073431241,"[[ 71 179]
 [169 330]]"
3,SVM,0.8758344459279038,"[[210  40]
 [ 53 446]]"
4,Naive Bayes,0.36315086782376504,"[[186  64]
 [413  86]]"
5,Gradient Boosting,0.5367156208277704,"[[105 145]
 [202 297]]"
6,K-Nearest Neighbors,0.6194926568758344,"[[117 133]
 [152 347]]"
7,Decision Tree,0.57543391188251,"[[112 138]
 [180 319]]"
8,AdaBoost,0.6421895861148198,"[[118 132]
 [136 363]]"
9,SGD Classifier,0.8624833110814419,"[[200  50]
 [ 53 446]]"
10,MLP,0.8277703604806409,"[[179  71]
 [ 58 441]]"
11,LGBMClassifier,0.5861148197596796,"[[123 127]
 [183 316]]"
