,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.9052069425901201,"[[315  18]
 [ 53 363]]"
1,Random Forest,0.4953271028037383,"[[203 130]
 [248 168]]"
2,XGBoost,0.48731642189586116,"[[194 139]
 [245 171]]"
3,SVM,0.8985313751668892,"[[316  17]
 [ 59 357]]"
4,Naive Bayes,0.4445927903871829,"[[333   0]
 [416   0]]"
5,Gradient Boosting,0.5126835781041389,"[[229 104]
 [261 155]]"
6,K-Nearest Neighbors,0.5714285714285714,"[[266  67]
 [254 162]]"
7,Decision Tree,0.4886515353805073,"[[193 140]
 [243 173]]"
8,AdaBoost,0.4886515353805073,"[[193 140]
 [243 173]]"
9,SGD Classifier,0.9132176234979973,"[[309  24]
 [ 41 375]]"
10,MLP,0.8130841121495327,"[[323  10]
 [130 286]]"
11,LGBMClassifier,0.5594125500667557,"[[281  52]
 [278 138]]"
