,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8451268357810414,"[[350  74]
 [ 42 283]]"
1,Random Forest,0.6675567423230975,"[[319 105]
 [144 181]]"
2,XGBoost,0.6288384512683578,"[[292 132]
 [146 179]]"
3,SVM,0.8504672897196262,"[[354  70]
 [ 42 283]]"
4,Naive Bayes,0.43391188251001334,"[[  0 424]
 [  0 325]]"
5,Gradient Boosting,0.719626168224299,"[[299 125]
 [ 85 240]]"
6,K-Nearest Neighbors,0.6101468624833111,"[[201 223]
 [ 69 256]]"
7,Decision Tree,0.5861148197596796,"[[183 241]
 [ 69 256]]"
8,AdaBoost,0.6355140186915887,"[[219 205]
 [ 68 257]]"
9,SGD Classifier,0.8477970627503337,"[[352  72]
 [ 42 283]]"
10,MLP,0.8451268357810414,"[[357  67]
 [ 49 276]]"
11,LGBMClassifier,0.6915887850467289,"[[271 153]
 [ 78 247]]"
