,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8891855807743658,"[[312  43]
 [ 40 354]]"
1,Random Forest,0.527369826435247,"[[  1 354]
 [  0 394]]"
2,XGBoost,0.5393858477970628,"[[ 10 345]
 [  0 394]]"
3,SVM,0.8865153538050734,"[[319  36]
 [ 49 345]]"
4,Naive Bayes,0.5260347129506008,"[[  0 355]
 [  0 394]]"
5,Gradient Boosting,0.6728971962616822,"[[172 183]
 [ 62 332]]"
6,K-Nearest Neighbors,0.6395193591455274,"[[221 134]
 [136 258]]"
7,Decision Tree,0.6101468624833111,"[[104 251]
 [ 41 353]]"
8,AdaBoost,0.5260347129506008,"[[  0 355]
 [  0 394]]"
9,SGD Classifier,0.8811748998664887,"[[296  59]
 [ 30 364]]"
10,MLP,0.8518024032042724,"[[280  75]
 [ 36 358]]"
11,LGBMClassifier,0.636849132176235,"[[ 87 268]
 [  4 390]]"
