,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.9078771695594126,"[[299  25]
 [ 44 381]]"
1,Random Forest,0.5901201602136181,"[[ 24 300]
 [  7 418]]"
2,XGBoost,0.5981308411214953,"[[ 30 294]
 [  7 418]]"
3,SVM,0.8985313751668892,"[[294  30]
 [ 46 379]]"
4,Naive Bayes,0.5674232309746329,"[[  0 324]
 [  0 425]]"
5,Gradient Boosting,0.6034712950600801,"[[ 33 291]
 [  6 419]]"
6,K-Nearest Neighbors,0.5700934579439252,"[[169 155]
 [167 258]]"
7,Decision Tree,0.49265687583444595,"[[ 98 226]
 [154 271]]"
8,AdaBoost,0.5674232309746329,"[[  0 324]
 [  0 425]]"
9,SGD Classifier,0.9038718291054739,"[[302  22]
 [ 50 375]]"
10,MLP,0.8838451268357811,"[[299  25]
 [ 62 363]]"
11,LGBMClassifier,0.49666221628838453,"[[ 98 226]
 [151 274]]"
