Ticker,Date,headline
BRK.B,2015-01-15,How Warren Buffett Made A Wrong Bet On Oil
BRK.B,2015-02-05,"Warren Buffett Opines On Moody's, Coca-Cola And The iWatch"
BRK.B,2015-02-18,Cramer: I Question American Express' Crediblity
BRK.B,2015-02-19,"Strong Businesses, Good People, Discounted Prices: A Look At Mason Hawkins' Latest Moves"
BRK.B,2015-02-20,Top 10 Stocks Amongst Institutions' Top 10 Picks
BRK.B,2015-02-26,What Warren Buffett Sees In IBM That Rest Of Market Doesn't? Bernstein Analyst Explains
BRK.B,2015-02-28,"Berkshire Hathaway Q4 Operating EPS $2,412 | Berkshire Hathaway Expects to Partner With 3G in More Activities | Berkshire Hathaway May Form New Partnerships With Mars, Leucadia, Others | Buffett, Berkshire Board Feel they Have Right Successor for CEO Position"
BRK.B,2015-03-02,"Warren Buffett Says Buying More IBM Shares Because he Likes It -CNBC | Barclays Still Loves Berkshire Hathaway, But Notes 1 Risk"
BRK.B,2015-03-07,Laszlo Birinyi Is A Buyer Of Microsoft Corporation And Berkshire Hathaway Inc.
BRK.B,2015-03-13,Exclusive: Quicken Loans Comments On Suspension Of Buffett's 'Billion Dollar Bracket Challenge'
BRK.B,2015-03-23,"Michael Lewis: Wall Street Taken Over By 'Geeks', Berkshire's My Hedge"
BRK.B,2015-03-25,Warren Buffett Breaks Down The Terms Of Heinz-Kraft Deal | Warren Buffett: Not Saying Euro Won't Continue But More Will Be Needed To Make It Really Function Well
BRK.B,2015-04-01,Why Warren Buffett Thinks That Self-Driving Cars Will Be Bad For Berkshire's Business?
BRK.B,2015-04-02,Warren Buffett's 'Ideal' Tax Code
BRK.B,2015-04-05,Why Warren Buffett Is Not Able To 'Find Cheap Stocks To Buy'?
BRK.B,2015-04-07,Why One Hedge Fund Manager Thinks Bank of America Is Much Cheaper Than JPMorgan Chase
BRK.B,2015-05-02,Berkshire Hathaway Q1 EPS Beats Estimates
BRK.B,2015-05-04,"Warren Buffett: I Feel Pretty Good About IBM's Future, Especially In Hybrid Cloud"
BRK.B,2015-06-16,Buffett's Latest Buy is Big Bet on Asia
BRK.B,2015-07-21,Warren Buffett Says Reports that he Purchased a Greek Island are Fabricated -Reuters
BRK.B,2015-08-07,"Earnings Scheduled For August 7, 2015 | Berkshire Hathaway Reports Q2 Operating Earnings Per Class A Share $2,367 vs $2,634 in Same Qtr. Last Year"
BRK.B,2015-08-10,"Release from Berkshire Hathaway, Precision Castparts at 7 a.m. EDT Confirms Deal at $235/Share in Cash | Warren Buffett Reveals How The Precision Castparts Acquisition Unfolded, Gives Credit To Todd Combs For The Deal | Warren Buffett: Love It When IBM Goes Down, Selloff In Media Stocks Did Not Entice Me"
BRK.B,2015-08-11,Stifel's Scott Devitt Explains The Similarities That Makes Google ' Berkshire Hathaway Of The Internet'
BRK.B,2015-11-10,Hearing Unconfirmed Market Chatter Berkshire Doubling Stake in Visa
BRK.B,2016-01-25,"Berkshire Hathaway Acquires Precision Castparts, Terms Not Disclosed"
BRK.B,2016-01-26,Stocks Hitting 52-Week Highs
BRK.B,2016-02-26,"Earnings Scheduled For February 26, 2016"
BRK.B,2016-02-29,Berkshire Hathaway Gets A Boost From Buffett's CNBC Appearance | Would Buffett Support An IBM Watson Spinoff? | Buffett Plans To Give Any Employee Who Picks Perfect Sweet 16 $1M A Year For Life: What Are The Odds?
BRK.B,2016-03-09,Rolfe: Berkshire Still Better Bet Than Small-Caps | How Has Warren Buffett Performed In The 7-Year Bull Market?
BRK.B,2016-03-28,UBS Loves Berkshire Hathaway Even Without Warren Buffett
BRK.B,2016-04-30,"Warren Buffett, Speaking at Berkshire Hathaway Annual Meeting, Says What Amazon has Accomplished is Remarkable"
BRK.B,2016-05-06,"Earnings Scheduled For May 6, 2016 | Berkshire Hathaway Reports Q1 NI $5.589B v.s Prior Year Quarter $5.164B"
BRK.B,2016-05-09,Warren Buffett's Estate Will Be Invested In Only 2 Things After He Dies
BRK.B,2016-05-16,Berkshire Hathaway Reports 9.8M Share Stake In Apple
BRK.B,2016-07-27,Apple Is Right Back Where It Was 3 Months Ago
BRK.B,2016-10-06,CNBC Citing Reuters Reports Mars to buy Buffett's stake in Wrigley chewing gum business
BRK.B,2016-11-04,"Berkshire Hathaway Reports Q3 Adj. EPS $2,951"
BRK.B,2017-01-03,Berkshire Succession Plan Fuels Uncertainty | Berkshire Succession Plan Fuels Uncertainty
BRK.B,2017-01-04,How Has Berkshire's Surprise Bet On Airlines Panned Out So Far?
BRK.B,2017-01-05,Airline ETF: A Cash Flow Destination | 'Becoming Warren Buffett': Your Chance To Get Up Close With The Oracle Of Omaha
BRK.B,2017-10-17,"Stock Exchange For Sports Aims To Teach Financial Literacy, Empower New Investors"
BRK.B,2017-11-03,"Berkshire Hathaway Reports Q3 Adj. EPS $2,094/A Share | Berkshire Hathaway Reports Q3 Sales $47.18B"
BRK.B,2017-11-14,13F Filing Shows Berkshire Hathaway Takes Share Stake Bank of America | 13F Filing Shows Berkshire Hathaway Cut Stake In IBM | 13F Filing Shows Berkshire Hathaway Increased Stake In Apple
BRK.B,2017-12-04,Premarket NYSE Opening Imbalance Update: JP Morgan 136k Shares To Buy; BofA 801k To Buy; Alibaba 164k To Buy; GE 133k To Buy; Square 66k To Buy; Berkshire Hathaway 50k To Buy; Macy's 79k To Buy;
BRK.B,2018-01-04,PreMarket Opening NYSE Imbalance Update: General Electric 1.3M Shares To Buy; Square 227k Shares To Buy; Berkshire Hathaway Class B 50k Shares To Buy; Chevron 56k Shares To Sell; Nike 56k Shares To Sell; Macy's 21k Shares To Sell
BRK.B,2018-12-18,"Krupa Global Responds Following SocGen Research Report On Kraft Heinz; Firm Disputes The SocGen Analysis, Has Confidence Berkshire Hathaway Will Buy Co., Price Around $80/Share"
BRK.B,2019-01-02,"'Berkshire Hathaway paid about $145/share for 252 million shares of $AAPL.
The shares are trading at $146 now' -Tweet From Real Money Pro's Doug Kass"
BRK.B,2019-02-21,"'New court documents give insight into ambitions of joint health-care venture between Amazon, JP Morgan, Berkshire Hathaway' -CNBC"
BRK.B,2019-02-22,"Warren Buffett, Other Kraft Heinz Institutional Investors Left With Mustard On Their Shirts"
BRK.B,2019-02-23,"Berkshire Hathaway Net Loss/Average Equivalent Class A Share $(15,467) vs $3,349.04 Est; Net Loss/Average Equivalent Class B Share	$ (10.31) vs $2.15 Est"
BRK.B,2019-02-25,Hearing Warren Buffett May Repurchase Berkshire Shares
