Ticker,Date,Cleaned_Headlines
MSFT,2015-01-08,"[""earlier article; the verge: 'windows 10's new browser will have the most advanced features ever'""]"
MSFT,2015-01-09,"[""idc analyst: combined sales of xbox one and ps4 in china 'unlikely' to cross a million units this year""]"
MSFT,2015-01-12,['gamestop announces will use microsoft azure for continued enhancement of in engagement']
MSFT,2015-01-21,"['microsoft windows 10 briefing to begin at 12pm et', 'microsoft announces windows holographic with hololens headset  verge']"
MSFT,2015-01-22,['analysts: windows 10 usage to match windows 7']
MSFT,2015-01-24,"[""weekly tech highlights: microsoft's surprise invention, apple watch concerns and more""]"
MSFT,2015-01-26,"['tigress financial partners cio will look for updates in windows 10, cloud initiatives in microsoft earnings']"
MSFT,2015-02-04,"[""morgan stanley answers 'what does windows 10 really mean' for microsoft""]"
MSFT,2015-02-09,"['notable option activity for february 9: himx, cx, fnsr, wmb, oln, ncr, msft', 'option alert: msft may 2015 $45 call; 27,369 traded vs 3,671 oi']"
MSFT,2015-02-12,"[""from windows phone blog: 'announcing the first build of windows 10 technical preview for phones'"", 'microsoft jan. xbox live gamer hours up 22% yoy']"
MSFT,2015-02-13,"['hearing unconfirmed market chatter microsoft to spinoff xbox', 'microsoft stock, xbox on the rebound']"
MSFT,2015-03-04,"[""time warner cable announces expansion of twc tv experience to microsoft's xbox one""]"
MSFT,2015-03-11,['microsoft azure govt. compliant in criminal justice info services for california law guidelines']
MSFT,2015-03-12,['idc sees windows 10 being received well by users']
MSFT,2015-03-18,"['microsoft working with lenovo, tencent, qihoo 360 on roll out of windows 10 in china', 'qualcomm announces support of windows 10 for dragonboard 410c development platform']"
MSFT,2015-03-24,"[""gamespot breaks down: playstation vue vs. xbox one's sling tv""]"
MSFT,2015-04-02,"['microsoft newsroom unveils several new initiatives: outlook apps, office lens for ios, android']"
MSFT,2015-04-13,['microsoft azure versus amazon aws: who wins?']
MSFT,2015-04-14,"[""xbox one users will be able to play 'star wars battlefront' before everyone else""]"
MSFT,2015-04-19,"['fireeye labs detects limited apt campaign exploiting zero vulnerabilities in adobe flash, new one in microsoft windows']"
MSFT,2015-04-23,"[""microsoft's earnings could be in 'trouble' without 'forced windows upgrades'"", 'xbox one update to have smartglass?']"
MSFT,2015-04-29,"['hearing microsoft may be considering accepting android apps on windows phones', ""from microsoft's 'build 2015' developer conference: head of windows terry myerson currently speaking,""]"
MSFT,2015-04-30,"[""paccrest boosts microsoft target after getting a 'window into windows 10'"", 'infosys partners with microsoft to offer finacle on azure']"
MSFT,2015-05-04,['report: apple prepping 12.9 inch ipad']
MSFT,2015-05-06,['fortinet delivers network security for microsoft azure']
MSFT,2015-05-10,['how can windows 10 reach 1 billion devices?']
MSFT,2015-05-11,"['microsoft brings local tv to xbox one', ""apple's u.s. market share grows to 42.6 percent, ios also gains share""]"
