,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8264352469959947,"[[242  43]
 [ 87 377]]"
1,Random Forest,0.5767690253671562,"[[138 147]
 [170 294]]"
2,XGBoost,0.684913217623498,"[[ 52 233]
 [  3 461]]"
3,SVM,0.822429906542056,"[[248  37]
 [ 96 368]]"
4,Naive Bayes,0.38050734312416556,"[[285   0]
 [464   0]]"
5,Gradient Boosting,0.719626168224299,"[[ 97 188]
 [ 22 442]]"
6,K-Nearest Neighbors,0.5674232309746329,"[[105 180]
 [144 320]]"
7,Decision Tree,0.5473965287049399,"[[107 178]
 [161 303]]"
8,AdaBoost,0.5246995994659546,"[[ 96 189]
 [167 297]]"
9,SGD Classifier,0.8664886515353805,"[[243  42]
 [ 58 406]]"
10,MLP,0.8371161548731643,"[[236  49]
 [ 73 391]]"
11,LGBMClassifier,0.5914552736982643,"[[131 154]
 [152 312]]"
