,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8865153538050734,"[[254  46]
 [ 39 410]]"
1,Random Forest,0.4539385847797063,"[[209  91]
 [318 131]]"
2,XGBoost,0.4325767690253672,"[[178 122]
 [303 146]]"
3,SVM,0.8838451268357811,"[[257  43]
 [ 44 405]]"
4,Naive Bayes,0.40053404539385845,"[[300   0]
 [449   0]]"
5,Gradient Boosting,0.45660881174899864,"[[206  94]
 [313 136]]"
6,K-Nearest Neighbors,0.4485981308411215,"[[200 100]
 [313 136]]"
7,Decision Tree,0.4325767690253672,"[[187 113]
 [312 137]]"
8,AdaBoost,0.43658210947930576,"[[185 115]
 [307 142]]"
9,SGD Classifier,0.8798397863818425,"[[249  51]
 [ 39 410]]"
10,MLP,0.8651535380507344,"[[238  62]
 [ 39 410]]"
11,LGBMClassifier,0.46194926568758343,"[[203  97]
 [306 143]]"
