,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.855807743658211,"[[197  53]
 [ 55 444]]"
1,Random Forest,0.5046728971962616,"[[ 87 163]
 [208 291]]"
2,XGBoost,0.5353805073431241,"[[ 71 179]
 [169 330]]"
3,SVM,0.8758344459279038,"[[210  40]
 [ 53 446]]"
4,Naive Bayes,0.36315086782376504,"[[186  64]
 [413  86]]"
5,Gradient Boosting,0.582109479305741,"[[131 119]
 [194 305]]"
6,K-Nearest Neighbors,0.5647530040053405,"[[116 134]
 [192 307]]"
7,Decision Tree,0.514018691588785,"[[103 147]
 [217 282]]"
8,AdaBoost,0.6034712950600801,"[[118 132]
 [165 334]]"
9,SGD Classifier,0.7116154873164219,"[[187  63]
 [153 346]]"
10,MLP,0.7957276368491322,"[[185  65]
 [ 88 411]]"
11,LGBMClassifier,0.5861148197596796,"[[123 127]
 [183 316]]"
