,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8437917222963952,"[[346  78]
 [ 39 286]]"
1,Random Forest,0.684913217623498,"[[317 107]
 [129 196]]"
2,XGBoost,0.6288384512683578,"[[292 132]
 [146 179]]"
3,SVM,0.8504672897196262,"[[354  70]
 [ 42 283]]"
4,Naive Bayes,0.43391188251001334,"[[  0 424]
 [  0 325]]"
5,Gradient Boosting,0.6755674232309746,"[[327  97]
 [146 179]]"
6,K-Nearest Neighbors,0.6128170894526035,"[[201 223]
 [ 67 258]]"
7,Decision Tree,0.5861148197596796,"[[183 241]
 [ 69 256]]"
8,AdaBoost,0.5861148197596796,"[[183 241]
 [ 69 256]]"
9,SGD Classifier,0.8785046728971962,"[[363  61]
 [ 30 295]]"
10,MLP,0.8531375166889186,"[[357  67]
 [ 43 282]]"
11,LGBMClassifier,0.6915887850467289,"[[271 153]
 [ 78 247]]"
