,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8264352469959947,"[[241  44]
 [ 86 378]]"
1,Random Forest,0.5914552736982643,"[[142 143]
 [163 301]]"
2,XGBoost,0.684913217623498,"[[ 52 233]
 [  3 461]]"
3,SVM,0.822429906542056,"[[248  37]
 [ 96 368]]"
4,Naive Bayes,0.38050734312416556,"[[285   0]
 [464   0]]"
5,Gradient Boosting,0.636849132176235,"[[138 147]
 [125 339]]"
6,K-Nearest Neighbors,0.5901201602136181,"[[ 98 187]
 [120 344]]"
7,Decision Tree,0.6835781041388518,"[[ 77 208]
 [ 29 435]]"
8,AdaBoost,0.5287049399198932,"[[ 98 187]
 [166 298]]"
9,SGD Classifier,0.664886515353805,"[[269  16]
 [235 229]]"
10,MLP,0.8251001335113485,"[[224  61]
 [ 70 394]]"
11,LGBMClassifier,0.5914552736982643,"[[131 154]
 [152 312]]"
