,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8451268357810414,"[[350  74]
 [ 42 283]]"
1,Random Forest,0.69826435246996,"[[315 109]
 [117 208]]"
2,XGBoost,0.6288384512683578,"[[292 132]
 [146 179]]"
3,SVM,0.8504672897196262,"[[354  70]
 [ 42 283]]"
4,Naive Bayes,0.43391188251001334,"[[  0 424]
 [  0 325]]"
5,Gradient Boosting,0.6969292389853138,"[[320 104]
 [123 202]]"
6,K-Nearest Neighbors,0.6101468624833111,"[[201 223]
 [ 69 256]]"
7,Decision Tree,0.6061415220293725,"[[202 222]
 [ 73 252]]"
8,AdaBoost,0.6355140186915887,"[[219 205]
 [ 68 257]]"
9,SGD Classifier,0.8718291054739653,"[[355  69]
 [ 27 298]]"
10,MLP,0.8651535380507344,"[[370  54]
 [ 47 278]]"
11,LGBMClassifier,0.6915887850467289,"[[271 153]
 [ 78 247]]"
