,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.9052069425901201,"[[315  18]
 [ 53 363]]"
1,Random Forest,0.4939919893190921,"[[200 133]
 [246 170]]"
2,XGBoost,0.48731642189586116,"[[194 139]
 [245 171]]"
3,SVM,0.8985313751668892,"[[316  17]
 [ 59 357]]"
4,Naive Bayes,0.4445927903871829,"[[333   0]
 [416   0]]"
5,Gradient Boosting,0.514018691588785,"[[228 105]
 [259 157]]"
6,K-Nearest Neighbors,0.5727636849132176,"[[266  67]
 [253 163]]"
7,Decision Tree,0.4886515353805073,"[[193 140]
 [243 173]]"
8,AdaBoost,0.4886515353805073,"[[193 140]
 [243 173]]"
9,SGD Classifier,0.7276368491321762,"[[333   0]
 [204 212]]"
10,MLP,0.8798397863818425,"[[301  32]
 [ 58 358]]"
11,LGBMClassifier,0.5594125500667557,"[[281  52]
 [278 138]]"
