,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8891855807743658,"[[312  43]
 [ 40 354]]"
1,Random Forest,0.5260347129506008,"[[  0 355]
 [  0 394]]"
2,XGBoost,0.5393858477970628,"[[ 10 345]
 [  0 394]]"
3,SVM,0.8865153538050734,"[[319  36]
 [ 49 345]]"
4,Naive Bayes,0.5260347129506008,"[[  0 355]
 [  0 394]]"
5,Gradient Boosting,0.6755674232309746,"[[142 213]
 [ 30 364]]"
6,K-Nearest Neighbors,0.6395193591455274,"[[221 134]
 [136 258]]"
7,Decision Tree,0.6088117489986649,"[[106 249]
 [ 44 350]]"
8,AdaBoost,0.5260347129506008,"[[  0 355]
 [  0 394]]"
9,SGD Classifier,0.8691588785046729,"[[300  55]
 [ 43 351]]"
10,MLP,0.8464619492656876,"[[268  87]
 [ 28 366]]"
11,LGBMClassifier,0.636849132176235,"[[ 87 268]
 [  4 390]]"
