Date,Adj Close,Close,High,Low,Open,Volume,Supertrend,Direction,UpperBand,LowerBand,Uptrend,Downtrend,Ticker,headline,sentiment_score
2015-01-02,78.08200073242188,78.44999694824219,78.93000030517578,77.69999694824219,78.58000183105469,18177500,82.00500869750977,-1,82.00500869750977,74.6249885559082,,82.00500869750977,,No headline available,0.887742
2015-01-05,76.82791137695312,77.19000244140625,79.25,76.86000061035156,77.9800033569336,26452200,82.00500869750977,-1,82.00500869750977,74.6249885559082,,82.00500869750977,META,"Bank of America Maintains Buy on Facebook, Raises PT to $91.00 | UPDATE: Bank of America Reiterates Buy Rating, Raises PT on Facebook as Market Share Trends Remain Positive | Survey: Internet Competitors' Places Hold Steady In Q4 | Analyst: Small-Cap Internet Stocks Could Outperform In 2015 | TD Ameritrade's Investment Movement Index Rises In December | Facebook Buys Wit.AI | Wit.ai Blog Post Confirms Purchase by Facebook | Benzinga's M&A Chatter for Monday January 5, 2015",-0.87970364
2015-01-06,75.79278564453125,76.1500015258789,77.58999633789062,75.36000061035156,77.2300033569336,27399300,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"Facebook Acquires Natural Language Developer Wit.ai | Document Security Systems Offers Litigation Update: Says US District Court for Northern District of California Issued Order Granting Summary Judgment to Defendants LinkedIn, Facebook | Facebook WhatsApp Has Reached 700M Monthly Active Users, 30B Messages Sent Per Day",0.6414368
2015-01-07,75.79278564453125,76.1500015258789,77.36000061035156,75.81999969482422,76.76000213623047,22045300,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"Facebook's WhatsApp Reaches 700 Million Users, Outranks All Other Platforms | Re/code Story Highlighting Facebook Updates Related to Video on Social: 'Facebook Reminds Video Makers That Facebook Video Is Really Big'",0.3561022
2015-01-08,77.81326293945312,78.18000030517578,78.2300033569336,76.08000183105469,76.73999786376953,23961000,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"Recode.com Sees Video On Facebook As 'Really Big' | Stifel Turns Bearish On Google, Downgrades To Hold | 'New Era:' Stifel Downgrades Google Inc., Priceline Group Inc. | Analyst: Internet Sector Values 'Not Compelling' | Quickfire.tv Site Currently Down; Bloomberg Reporting Facebook Has Purchased Co. for Undisclosed Amount",0.027268127
2015-01-09,77.37533569335938,77.73999786376953,78.62000274658203,77.19999694824219,78.19999694824219,21157000,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"Benzinga's M&A Chatter for Thursday January 8, 2015 | Mike Prospero: Facebook Acquiring QuickFire Networks Will Significantly Impact YouTube",0.17827138
2015-01-12,76.36011505126953,76.72000122070312,78.0,76.20999908447266,77.83999633789062,19190200,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"SunTrust's Bob Peck On Wearables: Consumers Will Adapt To New Technology | Mark Zuckerberg, Xiaomi CEO Discussed Potential Facebook Investment Xiamoi, According to Sources -Reuters | Credit Suisse's 4 Tech Stocks To Own And 4 To Avoid",-0.037251174
2015-01-13,76.09137725830078,76.44999694824219,78.08000183105469,75.8499984741211,77.2300033569336,25179600,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,Facebook Announces AMBER Alerts on Facebook | Apple Watch Buzz Opens New Business Opportunities | Is Facebook Still Trying To Build A Smartphone? | Three Stocks Trending On Twitter (And The Top Trades To Follow),0.80768293
2015-01-14,75.92218017578125,76.27999877929688,77.19999694824219,76.02999877929688,76.41999816894531,25918600,80.77820518493652,-1,80.77820518493652,74.6249885559082,,80.77820518493652,META,"The Facebook Hustle | Cramer Advises His Viewers On Stocks In Their Portfolios | UPDATE: Credit Suisse Reiterates Outperform Rating, Raises PT on Facebook on Multiple Positive Factors | UPDATE: Pivotal Research Reiterates Buy Rating, Raises PT on Facebook on Model Updates Ahead of 4Q14 Earnings | 'Facebook At Work' to be Available in App Stores on Wednesday | UPDATE: Oppenheimer Reiterates Outperform Rating, Raises PT on Facebook on Higher Instagram Valuation & Lower Tax Assumptions | Pivotal Roundup On Q4 Model Updates For Facebook, Google, Salesforce, Twitter And Yahoo | Mark Zuckerberg Currently Speaking At Conference | Facebook's Mark Zuckerberg Has Said Co. Might Be Open to Colombia Purchase | Technical Traders On Facebook's Run To $100",-0.67206806
2015-01-15,73.70263671875,74.05000305175781,76.56999969482422,73.54000091552734,76.4000015258789,34134000,80.17736583993972,-1,80.17736583993972,74.6249885559082,,80.17736583993972,META,Millicom International Cellular Partners with Facebook's Internet.org in Colombia,-0.2550143
