Date,Adj Close,Close,High,Low,Open,Volume,Supertrend,Direction,UpperBand,LowerBand,Uptrend,Downtrend,Ticker,Cleaned_Headlines,headline,sentiment_score
2015-01-02,86.19258880615234,100.77999877929688,102.62000274658203,100.01000213623047,101.5,3060900,109.14500427246094,-1,109.14500427246094,93.48500061035156,,109.14500427246094,,,No headline available,0.8877419
2015-01-05,84.77288055419922,99.12000274658203,100.44999694824219,98.75,100.30000305175781,4679000,107.25599975585938,-1,107.25599975585938,93.48500061035156,,107.25599975585938,,,No headline available,0.8877419
2015-01-06,84.60181427001953,98.91999816894531,100.13999938964844,98.45999908447266,99.83000183105469,3468300,106.69440048217773,-1,106.69440048217773,93.48500061035156,,106.69440048217773,,,No headline available,0.8877419
2015-01-07,85.46561431884766,99.93000030517578,100.30000305175781,98.91999816894531,98.95999908447266,3225800,106.67896319580078,-1,106.67896319580078,93.48500061035156,,106.67896319580078,,,No headline available,0.8877419
2015-01-08,89.54519653320312,104.69999694824219,104.9800033569336,100.72000122070312,101.56999969482422,5346100,106.67896319580078,-1,106.67896319580078,94.97293504638672,,106.67896319580078,,,No headline available,0.8877419
2015-01-09,88.70706176757812,103.72000122070312,104.62999725341797,102.9000015258789,104.41999816894531,3397600,106.67896319580078,-1,106.67896319580078,96.13564024475097,,106.67896319580078,,,No headline available,0.8877419
2015-01-12,87.70638275146484,102.55000305175781,104.0,101.91000366210938,103.83000183105469,3051500,106.67896319580078,-1,106.67896319580078,96.13564024475097,,106.67896319580078,,,No headline available,0.8877419
2015-01-13,88.15111541748047,103.06999969482422,105.5999984741211,101.83999633789062,103.94000244140625,3856500,106.67896319580078,-1,106.67896319580078,96.13564024475097,,106.67896319580078,,,No headline available,0.8877419
2015-01-14,88.3735122680664,103.33000183105469,103.4800033569336,101.18000030517578,101.61000061035156,4725600,106.67896319580078,-1,106.67896319580078,96.13564024475097,,106.67896319580078,,,No headline available,0.8877419
2015-01-15,89.33993530273438,104.45999908447266,104.58999633789062,103.12999725341797,103.55999755859375,5888900,106.67896319580078,-1,106.67896319580078,96.42461099316998,,106.67896319580078,,,No headline available,0.8877419
2015-01-16,90.46031188964844,105.7699966430664,106.0,103.6500015258789,104.5,6045500,106.67896319580078,-1,106.67896319580078,97.42815399846725,,106.67896319580078,,,No headline available,0.8877419
2015-01-20,90.33204650878906,105.62000274658203,106.37999725341797,104.5,106.19999694824219,6526800,106.67896319580078,-1,106.67896319580078,98.2188373626586,,106.67896319580078,,,No headline available,0.8877419
2015-01-21,93.49647521972656,109.31999969482422,109.44999694824219,105.62000274658203,106.5199966430664,8293700,99.88695644926872,1,106.67896319580078,99.88695644926872,99.88695644926872,,,,No headline available,0.8877419
2015-01-22,97.37078857421875,113.8499984741211,114.12000274658203,109.33000183105469,109.75,8055200,103.40176231496197,1,120.04824226267475,103.40176231496197,103.40176231496197,,,,No headline available,0.8877419
