,Start_x,End_x,Ticker,Model,lag,Accuracy_x,Return [%]_x,Buy & Hold Return [%]_x,Return [%]_y,Type,Sharpe Ratio_x,# Trades_x,# Trades_y,Sharpe Ratio_y,TN,FP,FN,TP,Precision,TPR,FPR
2089,2022-01-03 00:00:00,2025-02-27 00:00:00,AAPL,SGD Classifier,30,0.8457648546144121,42.04349548339851,30.37745739992605,53.790847509765705,normal,0.7594926903612942,17,20,0.9506067460319714,366,5,117,303,0.9837662337662337,0.7214285714285714,0.013477088948787063
1973,2022-01-03 00:00:00,2025-02-27 00:00:00,AMD,MLP,30,0.843236409608091,49.96670082092285,-33.76597544070364,89.04172709716794,grid,0.4032042874383122,8,24,0.647532522580889,428,19,105,239,0.9263565891472868,0.6947674418604651,0.042505592841163314
938,2022-01-03 00:00:00,2025-02-27 00:00:00,AMZN,XGBoost,15,0.8950695322376738,91.86031532287586,22.496771696122803,85.17645955383286,normal,0.7949698354642518,26,35,0.7781650817583803,280,27,56,428,0.9406593406593406,0.8842975206611571,0.08794788273615635
1606,2022-01-03 00:00:00,2025-02-27 00:00:00,GOOGL,Decision Tree,25,0.7876106194690266,33.97793487548828,16.21370839460447,34.953997626342655,grid,0.3460242938182675,42,66,0.3871955665920759,234,121,47,389,0.7627450980392156,0.8922018348623854,0.3408450704225352
4345,2022-01-03 00:00:00,2025-02-27 00:00:00,META,SVM,5,0.8217446270543616,354.6925791931153,94.4349186566028,354.0551602966308,grid,1.2200247994763855,18,27,1.2492564499384322,202,77,64,448,0.8533333333333334,0.875,0.27598566308243727
850,2022-01-03 00:00:00,2025-02-27 00:00:00,MSFT,Gradient Boosting,15,0.6902654867256637,33.65818344116212,17.26064190568988,38.59363667968751,grid,0.6581632248820315,9,11,0.7360647479342702,371,4,241,175,0.9776536312849162,0.4206730769230769,0.010666666666666666
3852,2022-01-03 00:00:00,2025-02-27 00:00:00,NFLX,Naive Bayes,50,0.5790139064475348,104.70461467285152,61.218342935903735,135.5702032470703,random,0.7603698218878919,25,20,0.9007861795605488,214,55,278,244,0.8160535117056856,0.4674329501915709,0.20446096654275092
1261,2022-01-03 00:00:00,2025-02-27 00:00:00,NVDA,Logistic Regression,20,0.8761061946902655,377.1065758132933,298.8911402988802,574.138231556549,grid,0.9062706190430576,22,42,1.163953757708569,280,62,36,413,0.8694736842105263,0.9198218262806236,0.18128654970760233
1020,2022-01-03 00:00:00,2025-02-27 00:00:00,SPY,K-Nearest Neighbors,15,0.8242730720606827,35.80730865478519,22.46969882520961,41.66931977783205,normal,0.9381451308125548,27,29,1.093108412604684,258,24,115,394,0.9425837320574163,0.7740667976424361,0.0851063829787234
1162,2022-01-03 00:00:00,2025-02-27 00:00:00,TSLA,Gradient Boosting,15,0.8634639696586599,94.41474744262683,-29.499571798021744,183.20279449462905,random,0.5541219533165579,48,23,0.7524846945904166,398,56,52,285,0.8357771260997068,0.8456973293768546,0.12334801762114538
