,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8891855807743658,"[[312  43]
 [ 40 354]]"
1,Random Forest,0.5901201602136181,"[[294  61]
 [246 148]]"
2,XGBoost,0.5393858477970628,"[[ 10 345]
 [  0 394]]"
3,SVM,0.8865153538050734,"[[319  36]
 [ 49 345]]"
4,Naive Bayes,0.5260347129506008,"[[  0 355]
 [  0 394]]"
5,Gradient Boosting,0.6942590120160214,"[[148 207]
 [ 22 372]]"
6,K-Nearest Neighbors,0.6395193591455274,"[[221 134]
 [136 258]]"
7,Decision Tree,0.5740987983978638,"[[281  74]
 [245 149]]"
8,AdaBoost,0.5260347129506008,"[[  0 355]
 [  0 394]]"
9,SGD Classifier,0.8838451268357811,"[[323  32]
 [ 55 339]]"
10,MLP,0.8304405874499332,"[[254 101]
 [ 26 368]]"
11,LGBMClassifier,0.636849132176235,"[[ 87 268]
 [  4 390]]"
