,Ticker,Date,headline
0,MSFT,2025-02-01,"OpenAI Launches o3-mini Model, Makes It Free After DeepSeek's Launch"
1,MSFT,2025-02-02,"Bill Gates' Early Departure From Harvard: Not Surprising, Says Former Professor: 'I Just Wish I'd Invested In Him' | Consumer Tech News (Jan 27-Jan 31): China's DeepSeek Launch Gets Mixed Reaction From Experts, Tech Biggies Reported Earnings & More"
2,MSFT,2025-02-03,"14 Million Job Seekers Didn't Hear Back From Potential Employers In Just A Single Quarter Last Year: Now LinkedIn Is Moving To Change That With AI Help | TikTok Ban Exposes 'Techno-Feudal' Power: Influencers With Massive Following Should Be Able To Carry Followers Across Platforms, Says Economist | Nvidia, SMCI, Broadcom, And Other Tech Stocks Slide In Monday Pre-Market As Trump Imposes Tariffs On Imports From China, Mexico, And Canada | Analyzing Microsoft In Comparison To Competitors In Software Industry | AMD Reports Q4 Earnings This Week: What's Going On With The Chip Stock? | 10 Information Technology Stocks With Whale Alerts In Today's Session | Dan Loeb's Third Point Trims Amazon, Microsoft, Meta As Tech Stocks Climb | Chevron, Exxon And Shell Shift Focus To Powering AI Growth"
3,MSFT,2025-02-04,"Nvidia, TSMC Stocks Fell As Trump Hit Mexico, Canada, And China With Tariffs—But Top Analyst Sees Only 'Limited' Supply Chain Impact On Chips | Windows 11 Disaster? Microsoft Quietly Removes Workaround For Unsupported PCs, Potentially Leaving Millions Unable To Upgrade | Bill Gates Says Nvidia's Jensen Huang 'Could Be Wrong' About Quantum Computing: QUBT, RGTI, IONQ React In Tuesday Premarket | Sam Altman in Korea: OpenAI Seeks AI Deals With Samsung, SK Hynix, and SoftBank Amid Global AI Boom | Performance Comparison: Microsoft And Competitors In Software Industry | Check Out What Whales Are Doing With MSFT | Nvidia Still A Top Pick As Microsoft, Meta Stick With GPUs Despite DeepSeek Challenge: Analyst | Judge Yvonne Gonzalez Rogers Says Has 'Significant Concerns' About Microsoft Having Had Two People On OpenAI Board"
4,MSFT,2025-02-05,"Sundar Pichai Downplays DeepSeek Threat — Google's Gemini Still Leads In Cost, Performance, And Latency | Expect Weak Stock Returns For Next 3 Months, Cautions Top Analyst Amid Trump's Trade And Immigration Policies | Google-Parent Alphabet Plunges 7% In Wednesday Pre-Market: What's Going On? | Africa's $1.8 Billion Gaming Boom: Why Microsoft Can't Ignore Mobile | OpenAI Says Deep Research Now Rolled Out To 100% Of Pro Users | Competitor Analysis: Evaluating Microsoft And Competitors In Software Industry | Trump Pushes For TikTok Deal, China Could Oblige If It Weren't For Those Tariffs — Here's What We Know"
5,MSFT,2025-02-06,"Microsoft Poaches Top DeepMind AI Talent Behind Google's Podcasting Feature—Mustafa Suleyman's Zurich AI Lab Expands | DeepSeek's AI Model Drives Surge In Chinese Tech Stocks, Closing Gap With US 'Magnificent Seven' | Market Analysis: Microsoft And Competitors In Software Industry | 'OpenAI Eyeing More Data Centers in Texas, Other States For Stargate; Focus on facilities that use as much power as nuclear reactor; Stargate's backers plan to invest $500 billion in US projects' - Bloomberg News | 10 Information Technology Stocks With Whale Alerts In Today's Session | Trump Focused On 10-Year Yield And Not On The Fed, Slower AI Growth Fears Weigh On Arm Stock | OpenAI Exec Says Texas Will Be The Flagship Of Stargate Project; Around 16 States Have Indicated Interest In Building Data Centers In OpenAI's Stargate Project; Construction Is Underway At Our First Site In Abilene, Texas; More Site Announcements Coming Later In The Spring; Data Center Campuses Aimed At Being One Gigawatt And Will Create Thousands Of Jobs; Handover Of First Tranche Of Data Center Compute In Abilene Later This Year | OpenAI Exec Says Right Now There's About $175B In Capital Already Waiting To Be Allocated For AI Infrastructure; We're Trying To Anchor Somewhere Between 5 And 10 As A Campus Footprint | Bill Gates Reflects On LSD, Cannabis, Risk-Taking And Influence Of Paul Allen And Jimi Hendrix"
6,MSFT,2025-02-07,Google's Quantum Computing Chief Challenges Nvidia's Jensen Huang's 20-Year Timeline: 'Within Five Years We'll See Real-World Applications That Are Possible Only On Quantum Computers' | Amazon Declines Nearly 3% In Friday Pre-Market: What's Going On? | Inquiry Into Microsoft's Competitor Dynamics In Software Industry | Big Tech's 2025 AI Bill Is $320 Billion And Counting: Can Investors Stomach It? | Broadcom's Trillion-Dollar Run: Analyst Expects ASIC To Take 10%-15% Market Share Backed By AI Compute Demand
7,MSFT,2025-02-08,"Bill Gates Says Steve Jobs Once Told Him, I Wish You'd 'Take Acid' That Would Enhance Microsoft's Product Design More: 'I Envy Those Skills. I'm Not In His League' | Bill Gates Says Steve Jobs Once Told Him, I Wish You'd 'Take Acid' That Would Enhance Microsoft's Product Design More: 'I Envy Those Skills. I'm Not In His League'"
8,MSFT,2025-02-09,"Consumer Tech News (Feb 3-Feb 7): Meta Plans Not To Comply With The EU AI Code Of Practice, Apple Raises AppleCare+ Service' Subscription Cost & More"
9,MSFT,2025-02-10,"Google DeepMind CEO Calls DeepSeek AI 'Best Work' From China, But Says Hype Is Overblown: 'There's No Actual New Scientific Advance' | Sam Altman's OpenAI Set To Finalize In-House AI Chip, Reducing Dependence On Nvidia: Report | Comparative Study: Microsoft And Industry Competitors In Software Industry | ""Microsoft Hit by French Antitrust Probe Over Rivals' Bing Access"" - Bloomberg News | Microsoft To Adjust Office-Teams Pricing In Bid To Avoid EU Antitrust Fine; Regulators Give Third Parties Until This Week To Provide Feedback, Sources Say | 'OpenAI Has Spoken To Government Officials About DeepSeek Probe' - Bloomberg News | Microsoft Confirms Being Targeted By French Antitrust Probe, Adding Company ""Fully Cooperating"" With The Investigation | Google DeepMind CEO Calls DeepSeek AI 'Best Work' From China, But Says Hype Is Overblown: 'There's No Actual New Scientific Advance' | Sam Altman's OpenAI Set To Finalize In-House AI Chip, Reducing Dependence On Nvidia: Report | Comparative Study: Microsoft And Industry Competitors In Software Industry | ""Microsoft Hit by French Antitrust Probe Over Rivals' Bing Access"" - Bloomberg News | Microsoft To Adjust Office-Teams Pricing In Bid To Avoid EU Antitrust Fine; Regulators Give Third Parties Until This Week To Provide Feedback, Sources Say | 'OpenAI Has Spoken To Government Officials About DeepSeek Probe' - Bloomberg News | Microsoft Confirms Being Targeted By French Antitrust Probe, Adding Company ""Fully Cooperating"" With The Investigation | 10 Information Technology Stocks With Whale Alerts In Today's Session | JD Vance 'Quarterbacking' TikTok Deal: Will His Venture Capital Experience Secure A Win? | ""Elon Musk-Led Group Makes $97.4B Bid For Control Of OpenAI; Bid Complicates Sam Altman's Plans To Make OpenAI A For-Profit Company"" - WSJ | Taiwan Semiconductor's Trillion-Dollar Valuation: The Chipmaker Enabling AI Boom | Elon Musk Co-Founded OpenAI, Now He's Bidding $97.4B To Take Back The Company | Behind Marvell Tech's Multi-Fold Growth: R&D, Acquisitions And AI Infrastructure"
