,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8878504672897196,"[[310  45]
 [ 39 355]]"
1,Random Forest,0.6341789052069426,"[[285  70]
 [204 190]]"
2,XGBoost,0.5393858477970628,"[[ 10 345]
 [  0 394]]"
3,SVM,0.8865153538050734,"[[319  36]
 [ 49 345]]"
4,Naive Bayes,0.5260347129506008,"[[  0 355]
 [  0 394]]"
5,Gradient Boosting,0.5981308411214953,"[[258  97]
 [204 190]]"
6,K-Nearest Neighbors,0.664886515353805,"[[217 138]
 [113 281]]"
7,Decision Tree,0.5794392523364486,"[[ 59 296]
 [ 19 375]]"
8,AdaBoost,0.527369826435247,"[[  2 353]
 [  1 393]]"
9,SGD Classifier,0.8344459279038718,"[[255 100]
 [ 24 370]]"
10,MLP,0.8598130841121495,"[[286  69]
 [ 36 358]]"
11,LGBMClassifier,0.636849132176235,"[[ 87 268]
 [  4 390]]"
