,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8891855807743658,"[[312  43]
 [ 40 354]]"
1,Random Forest,0.6622162883845126,"[[259  96]
 [157 237]]"
2,XGBoost,0.5393858477970628,"[[ 10 345]
 [  0 394]]"
3,SVM,0.8865153538050734,"[[319  36]
 [ 49 345]]"
4,Naive Bayes,0.5260347129506008,"[[  0 355]
 [  0 394]]"
5,Gradient Boosting,0.6234979973297731,"[[254 101]
 [181 213]]"
6,K-Nearest Neighbors,0.6395193591455274,"[[221 134]
 [136 258]]"
7,Decision Tree,0.6101468624833111,"[[104 251]
 [ 41 353]]"
8,AdaBoost,0.5260347129506008,"[[  0 355]
 [  0 394]]"
9,SGD Classifier,0.7957276368491322,"[[352   3]
 [150 244]]"
10,MLP,0.8397863818424566,"[[266  89]
 [ 31 363]]"
11,LGBMClassifier,0.636849132176235,"[[ 87 268]
 [  4 390]]"
